Name,Role,Category,Enemy Icon,Imagename,ImageOffset
Terry Cavanagh,Design,Created by,Warrior,_warrior,-90|-20
Niamh Houston / Chipzel,Music and Sound Design,Created by,Jester,_jester,-90|-20
Marlowe Dobbe,Art and Animation,Created by,Inventor,_inventor,-90|-40
Justo Delgado Baudí,Programming,Created by,Thief,_thief,-90|-20
Dana Trebella,PR and Marketing,Created by,Witch,_witch,-90|-30
Holly Gramazio,Writing,Created by,Robot,_robot,-90|-20
Lars Doucet,Polymod Support,With help from,Handyman,handyman,-30|-10
Philippa Warr,Copyediting,With help from,Frog,frog,-80|-40
Mylene Lourdel,French Press Outreach,With help from,Sorceress,sorceress,0|0
Keith Shetler,Launch Trailer,With help from,Marshmallow,marshmallow,10|-10
Vanessa Williams,PAX South Trailer,With help from,Cornelius,cornelius,0|-40
Indienova,Publishing in China,With help from,Mimic,mimic,-30|40
Will Lewis,Voice Acting,Voiceovers,Pirate,pirate,-60|-20
Adriana Figueroa,Voice Acting,Voiceovers,Singer,singer,-20|0
Jules Conroy,Voice Acting,Voiceovers,Kraken,kraken,-80|-60
Niilo Takalainen,Voiceover Audio,Voiceovers,Copycat,copycat,0|0
onetruepurple,Enemy Feedback,Special Thanks for Design Feedback,Haunted Jar,hauntedjar,0|0
Jackeea,Equipment Feedback,Special Thanks for Design Feedback,Cactus,cactuswarrior,-20|0
Jan [quote]YinYin[quote] Leuschner,Systems Feedback,Special Thanks for Design Feedback,Alchemist,potionmixer,-20|-70
Pace Smith,Detailed Playtesting,Special Thanks for Design Feedback,Aoife,knight,-70|-10
onetruepurple,Beta Testing,Beta Testing,Haunted Jar,hauntedjar,0|0
Hunkydory,Beta Testing,Beta Testing,Stereohead,stereohead,0|0
ShinyKitten07,Beta Testing,Beta Testing,Wicker Man,wickerman,10|-20
Jackeea,Beta Testing,Beta Testing,Cactus,cactuswarrior,-20|0
Ivan Cohen,Beta Testing,Beta Testing,Dire Wolf,direwolf,-40|0
Jan [quote]YinYin[quote] Leuschner,Beta Testing,Beta Testing,Alchemist,potionmixer,-20|-70
Scott Crossley,Beta Testing,Beta Testing,Loud Bird,loudbird,0|-50
David Galiev (TheMysticSword),Beta Testing,Beta Testing,RoboBot,robobot,-70|-50
Pace Smith,Beta Testing,Beta Testing,Aoife,knight,-70|-10
Zoe [quote]Hupfen[quote] Landon,Beta Testing,Beta Testing,Gardener,gardener,-60|-10
ncrecc,Beta Testing,Beta Testing,Wisp,wisp,20|-60
codyfun123,Beta Testing,Beta Testing,Wolf Puppy,wolfpuppy,0|0
F Field,Beta Testing,Beta Testing,Sneezy,sneezey,-20|-10
Sean Stangl,Beta Testing,Beta Testing,Hothead,hothead,-30|-20
Thomas Faust,German,Localisation,Baby Squid,squid,30|0
Felipe Mercader Martínez ,Spanish,Localisation,Fireman,fireman,-20|-30
Words of Magic,French,Localisation,Magician,streetmagician,-30|-60
MJM and KPS[;] Ríomhacadamh,Irish,Localisation,Scathach,scahatch,-60|-30
Bada Im,Korean,Localisation,Skeleton,skeleton,-20|-80
Go Endo (with Kakehashi Games),Japanese,Localisation,Cowboy,cowboy,10|0
Sound of Mystery,Chinese (Simplified),Localisation,Warlock,warlock,-70|-50
whiteblack,Chinese (Traditional),Localisation,Buster,dragon,-130|-60
Fabio Gurini,Italian,Localisation (with EDS Wordland),Keymaster,keymaster,-30|-40
Loek van Kooten,Dutch,Localisation (with EDS Wordland),Space Marine,spacemarine,-30|-10
Andre Leite,Portuguese,Localisation (with EDS Wordland),Snowman,snowman,-10|-50
Igor Vianna,Brazilian Portuguese,Localisation (with EDS Wordland),Yeti,yeti,-60|0
Kirill Semenov,Russian,Localisation (with EDS Wordland),Paper Knight,cardboardwarrior,-90|0
Karol Kacprzak,Polish,Localisation (with EDS Wordland),Wizard,wizard,-50|-20
Ali Emre Gulener,Turkish,Localisation (with EDS Wordland),Drake,vampire,-30|10
Emilia,EDS Wordland,Localisation (with EDS Wordland),Banshee,banshee,-20|0
Everyone on the dicecord[;] for their amazing feedback and support [heart],Special Thanks,Special Thanks,Slime,slime,10|-28
GreySilence and cheep for the alpha title screens,Special Thanks,Special Thanks,Slime,slime,10|-20
Portland Indie Game Squad,Special Thanks,Special Thanks,Slime,slime,10|-23
Leaf and Amos at itch.io,Special Thanks,Special Thanks,Slime,slime,10|-25
Jessica Mick,Special Thanks,Special Thanks,Slime,slime,10|-24
Stephen Lavelle,Special Thanks,Special Thanks,Slime,slime,10|-20
Ruari O’Sullivan,Special Thanks,Special Thanks,Slime,slime,10|-21
Josh Hadley,Special Thanks,Special Thanks,Slime,slime,10|-22
Our friends and family,Special Thanks,Special Thanks,Slime,slime,10|-28
Lady Luck,Special Thanks,Special Thanks,Slime,slime,10|-28
